Row No,PC,Opcode,Function,Line No,File,Directory,Cycles,Status
570,0x700A228C,0x0000920B,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,569,
571,0x700A228E,0x0000930A,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,570,
572,0x700A2290,0x0000980D,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,571,
573,0x700A2292,0x0000BB88,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,572,
574,0x700A2294,0x0000E7FF,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,573,
575,0x700A2296,0x00002001,_DebugP_assert,0,DebugP_log.c,../nortos/dpl/common,574,
576,0x7009AA4E,0x0000990B,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,575,
577,0x7009AA50,0x00002000,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,576,
578,0x7009AA52,0x00002902,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,577,
579,0x7009AA54,0x00009003,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,578,
580,0x7009AA56,0x0000D107,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,579,
581,0x7009AA68,0x00009903,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,580,
582,0x7009AA6A,0x00002001,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,581,
583,0x7009AA6C,0x00004388,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,582,
584,0x7009AA6E,0xF64621DD,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,583,
585,0x7009AA72,0xF2C7010A,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,584,
586,0x7009AA76,0x0000466A,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,585,
587,0x7009AA78,0x00006011,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,586,
588,0x7009AA7A,0xF2475173,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,587,
589,0x7009AA7E,0xF2C7010A,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,588,
590,0x7009AA82,0xF647023D,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,589,
591,0x7009AA86,0xF2C7020A,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,590,
592,0x7009AA8A,0xF240330E,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,591,
593,0x7009AA8E,0xF007FBF7,xQueueGenericSend,782,queue.c,FreeRTOS-Kernel,592,
594,0x700A2280,0x0000B5B0,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,593,
595,0x700A2282,0x0000B08E,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,594,
596,0x700A2284,0xF8DDC048,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,595,
597,0x700A2288,0x0000900D,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,596,
598,0x700A228A,0x0000910C,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,597,
599,0x700A228C,0x0000920B,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,598,
600,0x700A228E,0x0000930A,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,599,
601,0x700A2290,0x0000980D,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,600,
602,0x700A2292,0x0000BB88,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,601,
603,0x700A2294,0x0000E7FF,_DebugP_assert,92,DebugP_log.c,../nortos/dpl/common,602,
604,0x700A2296,0x00002001,_DebugP_assert,0,DebugP_log.c,../nortos/dpl/common,603,
605,0x7009AA92,0xF009F90D,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,604,
606,0x700A3CB0,0x0000B081,xTaskGetSchedulerState,4029,tasks.c,FreeRTOS-Kernel,605,
607,0x700A3CB2,0xF647501C,xTaskGetSchedulerState,4032,tasks.c,FreeRTOS-Kernel,606,
608,0x700A3CB6,0xF2C7000A,xTaskGetSchedulerState,4032,tasks.c,FreeRTOS-Kernel,607,
609,0x700A3CBA,0x00006800,xTaskGetSchedulerState,4032,tasks.c,FreeRTOS-Kernel,608,
610,0x700A3CBC,0x0000B918,xTaskGetSchedulerState,4032,tasks.c,FreeRTOS-Kernel,609,
611,0x700A3CBE,0x0000E7FF,xTaskGetSchedulerState,4032,tasks.c,FreeRTOS-Kernel,610,
612,0x700A3CC0,0x00002001,xTaskGetSchedulerState,0,tasks.c,FreeRTOS-Kernel,611,
613,0x700A3CC2,0x00009000,xTaskGetSchedulerState,4034,tasks.c,FreeRTOS-Kernel,612,
614,0x700A3CC4,0x0000E00D,xTaskGetSchedulerState,4035,tasks.c,FreeRTOS-Kernel,613,
615,0x700A3CC6,0xF6475000,xTaskGetSchedulerState,4038,tasks.c,FreeRTOS-Kernel,614,
616,0x700A3CCA,0xF2C7000A,xTaskGetSchedulerState,4038,tasks.c,FreeRTOS-Kernel,615,
617,0x700A3CCE,0x00006800,xTaskGetSchedulerState,4038,tasks.c,FreeRTOS-Kernel,616,
618,0x700A3CD0,0x0000B918,xTaskGetSchedulerState,4038,tasks.c,FreeRTOS-Kernel,617,
619,0x700A3CD2,0x0000E7FF,xTaskGetSchedulerState,4038,tasks.c,FreeRTOS-Kernel,618,
620,0x700A3CD4,0x00002002,xTaskGetSchedulerState,0,tasks.c,FreeRTOS-Kernel,619,
621,0x700A3CD6,0x00009000,xTaskGetSchedulerState,4040,tasks.c,FreeRTOS-Kernel,620,
622,0x700A3CD8,0x0000E002,xTaskGetSchedulerState,4041,tasks.c,FreeRTOS-Kernel,621,
623,0x7009AA96,0x00004601,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,622,
624,0x7009AA98,0x00002000,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,623,
625,0x7009AA9A,0x00009002,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,624,
626,0x7009AA9C,0x0000B931,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,625,
627,0x7009AA9E,0x0000E7FF,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,626,
628,0x7009AAA0,0x0000980C,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,627,
629,0x7009AAA2,0x00002800,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,628,
630,0x7009AAA4,0x0000BF18,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,629,
631,0x7009AAA6,0x00002001,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,630,
632,0x7009AAA8,0x00009002,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,631,
633,0x7009AAAA,0x0000E7FF,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,632,
634,0x7009AAAC,0x00009902,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,633,
635,0x7009AAAE,0x00002001,xQueueGenericSend,0,queue.c,FreeRTOS-Kernel,634,
636,0x7009AAB0,0x00004388,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,635,
637,0x7009AAB2,0xF646116A,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,636,
638,0x7009AAB6,0xF2C7010A,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,637,
639,0x7009AABA,0x0000466A,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,638,
640,0x7009AABC,0x00006011,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,639,
641,0x7009AABE,0xF2475173,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,640,
642,0x7009AAC2,0xF2C7010A,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,641,
643,0x7009AAC6,0xF647023D,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,642,
644,0x7009AACA,0xF2C7020A,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,643,
645,0x7009AACE,0xF2403311,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,644,
646,0x7009AAD2,0xF007FBD5,xQueueGenericSend,785,queue.c,FreeRTOS-Kernel,645,
647,0x700A2280,0x0000B5B0,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,646,
648,0x700A2282,0x0000B08E,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,647,
649,0x700A2284,0xF8DDC048,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,648,
650,0x700A2288,0x0000900D,_DebugP_assert,91,DebugP_log.c,../nortos/dpl/common,649,
651,0x7009AAD6,0x0000E7FF,xQueueGenericSend,792,queue.c,FreeRTOS-Kernel,650,
652,0x7009AAD8,0xF009FA8A,xQueueGenericSend,794,queue.c,FreeRTOS-Kernel,651,
653,0x700A3FF0,0x0000B672,vDisableInterruptPriority,4333,tasks.c,FreeRTOS-Kernel,652,
654,0x700A3FF2,0xF647501C,n/a,4336,n/a,n/a,653,
655,0x700A3FF6,0xF2C7000A,n/a,4336,n/a,n/a,654,
